Char     Prob       Code     #Bits     Entrophy
===================================================
y           1        0000101         7       7
w           1        000011         6       6
v           1        000000         6       6
u           1        000001         6       6
p           1        000110         6       6
m           1        000111         6       6
b           1        000100         6       6
,           1        000101         6       6
g           2        111010         6       12
f           2        111011         6       12
c           2        01010         5       10
s           3        01011         5       15
l           3        11100         5       15
d           4        0100         4       16
i           5        1000         4       20
r           6        1001         4       24
n           6        1010         4       24
h           6        1011         4       24
o           7        1111         4       28
a           8        001         3       24
t           10        011         3       30
e           13        110         3       39
